,ad_creative_body,count
49,"Contribute today to activate your 2020 Trump Gold Card Membership to order your EXCLUSIVE Gold Card. We're sending President Trump a list of EVERY Patriot who activated their membership before 11:59 PM TONIGHT, and he is expecting to see your name on there. Donate NOW!",5883
50,"We are planning something BIG for the First Lady’s birthday on April 26th, and we need your help.

The President is putting together a birthday card, and he wants to fill it with MILLIONS of signatures and notes written by Patriots.
He knows that the First Lady means so much to so many Americans, so he wants to give her a birthday card filled with kind messages from people like YOU.

Please sign the First Lady’s ONLY Official Birthday Card TODAY!",5797
51,"CONGRATS: You've won the Weekly Trump Patriot 500% Match! 

Contribute ANY AMOUNT in the next TWO HOURS for a 500% Match, and to get your name on the list of supporters we give to President Trump.",5655
52,Download the OFFICIAL Trump 2020 App today!,5563
53,"Our country is facing an unprecedented time right now, but thanks to President Trump’s leadership, we will prevail! 

He truly loves this country, and he knows you do too. The US is at its strongest when we come together as one, and we have done just that. 

President Trump has asked us to reach out to YOU to get YOUR input on his agenda by taking our Official Catholics for Trump Priorities Survey. 

Please respond by 11:59 PM TONIGHT to make sure your voice is heard.",5433
54,"SUPPORT PRESIDENT TRUMP'S 2020 CAMPAIGN 

Show your support for President Trump with the OFFICIAL Trump-Pence 2020 Flag.",5355
55,"I'm pleased to present you this invitation to join the Trump 100 Club.

Trump 100 Club Members are going to be the ones I turn to when I need the advice of the American People. I'll be counting on your feedback to represent the views of millions of voters.

Joining the Trump 100 Club is absolutely paramount to our success, and that’s why I'm calling on YOU to step up and accept my offer. We are only inviting 100 Patriots, so don't miss your chance to be a part of this exclusive group

Please contribute TODAY to join the Trump 100 Club.",5348
56,"Joe Biden OPENLY admitted his plan to violate our Second Amendment Rights.

Biden and Harris would enact UNCONSTITUTIONAL gun control measures while ANTIFA terrorizes our cities and the Radical Left calls to DEFUND the Police. 

They would make it harder than ever to defend yourself.",5315
57,"We knew the Chinese government was out of control, but they've taken it too far this time.

They're allowing COMMUNIST PROPAGANDA to spread about President Trump and our entire Nation, and we can't let them get away with it.

President Trump is doing everything he can to put America First, and while he’s fighting for us, he needs to know that you're fighting for him. 

Please sign our Official Petition DEMANDING an end to the CHINESE GOVERNMENT PROPAGANDA against our President!",5314
58,"The false Chinese government propaganda against OUR President has gone TOO FAR. As usual, China is trying to brainwash the rest of the world while throwing America under the bus.

It’s time to put an end to their communist propaganda once and for all, but we can't do it without you. President Trump is calling on EVERY American to step up and DEFEND THEIR COUNTRY against the Chinese Communist Party LIES!

Please sign our Official Petition DEMANDING an end to the CHINESE GOVERNMENT PROPAGANDA against our President!",5278
59,Join the team. Get the OFFICIAL Trump 2020 App TODAY!,5145
60,"You can now activate your 2020 Trump Platinum Card Membership and order your Official Platinum Card.

President Trump is ONLY inviting his TOP supporters, like YOU, to join this exclusive group, and we know he’s going to be very disappointed if we have to tell him you MISSED your chance to join.

Please contribute $35 or more by 11:59 PM TONIGHT to become a member, and we'll send you your very own PERSONALIZED Platinum Card.",5133
61,"Did you watch the debate with Kamala Harris?

Our Administration is fighting for the future of our great Nation, and your support means so much to us right now. 

We want to have our STRONGEST fundraising day ever. We know we can get there, but to help, we are giving you an exclusive offer.

ALL GIFTS 825%-MATCHED!",5067
62,Vote now.,4899
63,"The same Washington D.C. “experts” who said President Trump had no shot in 2016 are saying the same thing about 2020, but he’s more interested in what YOU think. Our movement is made up of grassroots supporters like you---it was your INCREDIBLE support that carried President Trump to victory in 2016, and he hopes you will stand with him again this November. 

Take the Official 2020 Grassroots Victory Survey TODAY to solidify your spot as a grassroots advisor for President Trump's campaign.",4865
64,"Walk your dog in style with the EXCLUSIVE Trump Pence Keep America Great Dog Collar. 

Shop NOW while supplies last!",4847
65,"🇺🇸 Sign Official Birthday Card 🇺🇸

Nothing could make the President’s birthday better than to see your signature and warm wishes on his Official Birthday Card.

Please add your name to the President’s ONLY OFFICIAL birthday card assembled by everyone at Team TRUMP.",4808
66,"WE NEED YOUR INPUT. Respond now to our Official Catholics for Trump Priorities Survey. 

President Trump has never stopped delivering on his promises to: 

✅ PROTECT the unborn 
✅Champion religious liberty and ensure equal treatment for ALL faiths 
✅Call on Congress to pass school CHOICE legislation 
✅Reform our criminal justice system and BREAK the cycle of crime 
✅Put America first with EVERY decision he makes 

Please take our Official Catholics for Trump Priorities Survey by 11:59 PM TONIGHT to make sure your voice is heard.",4791
